Testbild Nr. 1: JA, Label = 7, Vorhersage: 7, Fehler: 5.15431e-36
Testbild Nr. 3038: JA, Label = 2, Vorhersage: 2, Fehler: 4.1832e-22
Testbild Nr. 3039: JA, Label = 7, Vorhersage: 7, Fehler: 7.67228e-13
Testbild Nr. 3040: JA, Label = 1, Vorhersage: 1, Fehler: 9.57487e-10
Testbild Nr. 3041: JA, Label = 7, Vorhersage: 7, Fehler: 3.29093e-37
Testbild Nr. 3042: JA, Label = 9, Vorhersage: 9, Fehler: 1.68662e-20
Testbild Nr. 3043: JA, Label = 4, Vorhersage: 4, Fehler: 0.00196487
Testbild Nr. 3044: JA, Label = 0, Vorhersage: 0, Fehler: 8.89128e-12
Testbild Nr. 3045: JA, Label = 0, Vorhersage: 0, Fehler: 0.000405155
Testbild Nr. 3046: JA, Label = 3, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 3047: JA, Label = 8, Vorhersage: 8, Fehler: 0.00880172
Testbild Nr. 3048: JA, Label = 2, Vorhersage: 2, Fehler: 2.52434e-05
Testbild Nr. 3049: JA, Label = 2, Vorhersage: 2, Fehler: 2.37245e-11
Testbild Nr. 3050: JA, Label = 3, Vorhersage: 3, Fehler: 1.1553e-25
Testbild Nr. 3051: JA, Label = 1, Vorhersage: 1, Fehler: 1.40595e-06
Testbild Nr. 3052: JA, Label = 6, Vorhersage: 6, Fehler: 0.000976815
Testbild Nr. 3053: JA, Label = 0, Vorhersage: 0, Fehler: 0.000425864
Testbild Nr. 3054: JA, Label = 5, Vorhersage: 5, Fehler: 1.17071e-46
Testbild Nr. 3055: JA, Label = 7, Vorhersage: 7, Fehler: 1.40843e-42
Testbild Nr. 3056: JA, Label = 7, Vorhersage: 7, Fehler: 1.21923e-06
Testbild Nr. 3057: NEIN, Label = 9, Vorhersage: 5, Fehler: 1.02363
Testbild Nr. 3058: JA, Label = 2, Vorhersage: 2, Fehler: 1.47358e-29
Testbild Nr. 3059: JA, Label = 6, Vorhersage: 6, Fehler: 7.46088e-06
Testbild Nr. 3060: JA, Label = 7, Vorhersage: 7, Fehler: 7.83268e-16
Testbild Nr. 3061: NEIN, Label = 9, Vorhersage: 7, Fehler: 1
Testbild Nr. 3062: JA, Label = 7, Vorhersage: 7, Fehler: 1.48523e-14
Testbild Nr. 3063: NEIN, Label = 8, Vorhersage: 1, Fehler: 0.5
Testbild Nr. 3064: JA, Label = 6, Vorhersage: 6, Fehler: 4.41884e-08
Testbild Nr. 3065: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.717711
Testbild Nr. 3066: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 3067: JA, Label = 4, Vorhersage: 4, Fehler: 0.498015
Testbild Nr. 3068: NEIN, Label = 6, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 3069: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.726452
Testbild Nr. 3070: NEIN, Label = 4, Vorhersage: 2, Fehler: 0.500001
Testbild Nr. 3071: JA, Label = 1, Vorhersage: 1, Fehler: 3.435e-24
Testbild Nr. 3072: JA, Label = 2, Vorhersage: 2, Fehler: 2.85498e-41
Testbild Nr. 3073: JA, Label = 8, Vorhersage: 8, Fehler: 1.01884e-18
Testbild Nr. 3074: NEIN, Label = 1, Vorhersage: 5, Fehler: 1.00012
Testbild Nr. 3075: JA, Label = 3, Vorhersage: 3, Fehler: 1.0672e-20
Testbild Nr. 3076: JA, Label = 9, Vorhersage: 9, Fehler: 4.07636e-11
Testbild Nr. 3077: JA, Label = 4, Vorhersage: 4, Fehler: 2.45957e-20
Testbild Nr. 3078: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.995772
Testbild Nr. 3079: JA, Label = 3, Vorhersage: 3, Fehler: 1.13063e-16
Testbild Nr. 3080: JA, Label = 7, Vorhersage: 7, Fehler: 1.30344e-42
Testbild Nr. 3081: JA, Label = 3, Vorhersage: 3, Fehler: 1.80464e-22
Testbild Nr. 3082: JA, Label = 2, Vorhersage: 2, Fehler: 1.19115e-22
Testbild Nr. 3083: JA, Label = 3, Vorhersage: 3, Fehler: 0.000972693
Testbild Nr. 3084: JA, Label = 3, Vorhersage: 3, Fehler: 2.17641e-08
Testbild Nr. 3085: JA, Label = 7, Vorhersage: 7, Fehler: 9.76347e-14
Testbild Nr. 3086: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.499994
Testbild Nr. 3087: JA, Label = 4, Vorhersage: 4, Fehler: 2.05207e-23
Testbild Nr. 3088: JA, Label = 0, Vorhersage: 0, Fehler: 4.14597e-11
Testbild Nr. 3089: JA, Label = 6, Vorhersage: 6, Fehler: 0.499953
Testbild Nr. 3090: JA, Label = 2, Vorhersage: 2, Fehler: 2.82196e-09
Testbild Nr. 3091: JA, Label = 0, Vorhersage: 0, Fehler: 0.343909
Testbild Nr. 3092: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 3093: JA, Label = 1, Vorhersage: 1, Fehler: 2.71729e-20
Testbild Nr. 3094: JA, Label = 5, Vorhersage: 5, Fehler: 8.89881e-15
Testbild Nr. 3095: JA, Label = 3, Vorhersage: 3, Fehler: 2.0497e-30
Testbild Nr. 3096: JA, Label = 5, Vorhersage: 5, Fehler: 3.43282e-28
Testbild Nr. 3097: JA, Label = 4, Vorhersage: 4, Fehler: 9.00219e-49
Testbild Nr. 3098: JA, Label = 1, Vorhersage: 1, Fehler: 6.20032e-12
Testbild Nr. 3099: JA, Label = 7, Vorhersage: 7, Fehler: 2.26779e-23
Testbild Nr. 3100: JA, Label = 1, Vorhersage: 1, Fehler: 3.74467e-21
Testbild Nr. 3101: JA, Label = 5, Vorhersage: 5, Fehler: 8.83043e-08
Testbild Nr. 3102: JA, Label = 7, Vorhersage: 7, Fehler: 4.34436e-30
Testbild Nr. 3103: JA, Label = 5, Vorhersage: 5, Fehler: 9.7217e-23
Testbild Nr. 3104: JA, Label = 7, Vorhersage: 7, Fehler: 1.1517e-22
Testbild Nr. 3105: JA, Label = 3, Vorhersage: 3, Fehler: 3.09982e-19
Testbild Nr. 3106: JA, Label = 2, Vorhersage: 2, Fehler: 6.824e-35
Testbild Nr. 3107: NEIN, Label = 2, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 3108: JA, Label = 7, Vorhersage: 7, Fehler: 5.94583e-06
Testbild Nr. 3109: NEIN, Label = 3, Vorhersage: 5, Fehler: 1
Testbild Nr. 3110: JA, Label = 7, Vorhersage: 7, Fehler: 8.89364e-30
Testbild Nr. 3111: NEIN, Label = 3, Vorhersage: 5, Fehler: 0.966074
Testbild Nr. 3112: JA, Label = 7, Vorhersage: 7, Fehler: 5.35725e-26
Testbild Nr. 3113: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 3114: JA, Label = 5, Vorhersage: 5, Fehler: 7.88977e-12
Testbild Nr. 3115: JA, Label = 4, Vorhersage: 4, Fehler: 0.492541
Testbild Nr. 3116: JA, Label = 5, Vorhersage: 5, Fehler: 0.221563
Testbild Nr. 3117: JA, Label = 2, Vorhersage: 2, Fehler: 0.0679923
Testbild Nr. 3118: NEIN, Label = 5, Vorhersage: 9, Fehler: 0.5
Testbild Nr. 3119: JA, Label = 6, Vorhersage: 6, Fehler: 1.17679e-05
Testbild Nr. 3120: JA, Label = 5, Vorhersage: 5, Fehler: 1.17113e-50
Testbild Nr. 3121: JA, Label = 3, Vorhersage: 3, Fehler: 1.06735e-06
Testbild Nr. 3122: JA, Label = 6, Vorhersage: 6, Fehler: 1.09556e-25
Testbild Nr. 3123: JA, Label = 7, Vorhersage: 7, Fehler: 2.31008e-45
Testbild Nr. 3124: JA, Label = 4, Vorhersage: 4, Fehler: 8.91171e-26
Testbild Nr. 3125: JA, Label = 1, Vorhersage: 1, Fehler: 7.33986e-13
Testbild Nr. 3126: JA, Label = 7, Vorhersage: 7, Fehler: 9.00749e-23
Testbild Nr. 3127: JA, Label = 1, Vorhersage: 1, Fehler: 3.71275e-11
Testbild Nr. 3128: JA, Label = 5, Vorhersage: 5, Fehler: 3.2832e-11
Testbild Nr. 3129: JA, Label = 2, Vorhersage: 2, Fehler: 4.27962e-17
Testbild Nr. 3130: NEIN, Label = 3, Vorhersage: 2, Fehler: 1
Testbild Nr. 3131: JA, Label = 6, Vorhersage: 6, Fehler: 0.0234144
Testbild Nr. 3132: JA, Label = 3, Vorhersage: 3, Fehler: 1.95395e-21
Testbild Nr. 3133: NEIN, Label = 1, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 3134: JA, Label = 4, Vorhersage: 4, Fehler: 3.27444e-10
Testbild Nr. 3135: JA, Label = 2, Vorhersage: 2, Fehler: 1.51622e-27
Testbild Nr. 3136: JA, Label = 6, Vorhersage: 6, Fehler: 3.20477e-08
Testbild Nr. 3137: NEIN, Label = 7, Vorhersage: 1, Fehler: 0.5
Testbild Nr. 3138: JA, Label = 4, Vorhersage: 4, Fehler: 3.08449e-15
Testbild Nr. 3139: JA, Label = 3, Vorhersage: 3, Fehler: 0.497599
Testbild Nr. 3140: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.99678
Testbild Nr. 3141: JA, Label = 0, Vorhersage: 0, Fehler: 4.46423e-05
Testbild Nr. 3142: JA, Label = 6, Vorhersage: 6, Fehler: 6.15819e-09
Testbild Nr. 3143: JA, Label = 2, Vorhersage: 2, Fehler: 4.03961e-34
Testbild Nr. 3144: JA, Label = 1, Vorhersage: 1, Fehler: 1.95666e-30
Testbild Nr. 3145: JA, Label = 6, Vorhersage: 6, Fehler: 3.44004e-42
Testbild Nr. 3146: JA, Label = 5, Vorhersage: 5, Fehler: 0.499952
Testbild Nr. 3147: JA, Label = 3, Vorhersage: 3, Fehler: 0.499966
Testbild Nr. 3148: JA, Label = 9, Vorhersage: 9, Fehler: 0.496823
Testbild Nr. 3149: JA, Label = 1, Vorhersage: 1, Fehler: 4.53755e-35
Testbild Nr. 3150: JA, Label = 9, Vorhersage: 9, Fehler: 7.03861e-18
Testbild Nr. 3151: JA, Label = 3, Vorhersage: 3, Fehler: 0.499957
Testbild Nr. 3152: NEIN, Label = 2, Vorhersage: 1, Fehler: 0.997596
Testbild Nr. 3153: JA, Label = 1, Vorhersage: 1, Fehler: 2.22709e-24
Testbild Nr. 3154: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 3155: JA, Label = 4, Vorhersage: 4, Fehler: 0.5
Testbild Nr. 3156: JA, Label = 4, Vorhersage: 4, Fehler: 0.463523
Testbild Nr. 3157: JA, Label = 6, Vorhersage: 6, Fehler: 1.57595e-30
Testbild Nr. 3158: JA, Label = 5, Vorhersage: 5, Fehler: 0.499606
Testbild Nr. 3159: JA, Label = 8, Vorhersage: 8, Fehler: 0.5
Testbild Nr. 3160: JA, Label = 6, Vorhersage: 6, Fehler: 1.40815e-15
Testbild Nr. 3161: NEIN, Label = 9, Vorhersage: 5, Fehler: 0.500001
Testbild Nr. 3162: JA, Label = 7, Vorhersage: 7, Fehler: 2.08383e-42
Testbild Nr. 3163: JA, Label = 7, Vorhersage: 7, Fehler: 0.0201429
Testbild Nr. 3164: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.999151
Testbild Nr. 3165: NEIN, Label = 6, Vorhersage: 5, Fehler: 0.500001
Testbild Nr. 3166: JA, Label = 9, Vorhersage: 9, Fehler: 0.467036
Testbild Nr. 3167: NEIN, Label = 7, Vorhersage: 9, Fehler: 0.5
Testbild Nr. 3168: NEIN, Label = 3, Vorhersage: 5, Fehler: 1.48751
Testbild Nr. 3169: JA, Label = 9, Vorhersage: 9, Fehler: 3.86718e-18
Testbild Nr. 3170: JA, Label = 4, Vorhersage: 4, Fehler: 8.28985e-08
Testbild Nr. 3171: JA, Label = 0, Vorhersage: 0, Fehler: 5.46749e-06
Testbild Nr. 3172: JA, Label = 5, Vorhersage: 5, Fehler: 1.18125e-24
Testbild Nr. 3173: JA, Label = 4, Vorhersage: 4, Fehler: 7.03075e-27
Testbild Nr. 3174: JA, Label = 6, Vorhersage: 6, Fehler: 7.18452e-09
Testbild Nr. 3175: JA, Label = 4, Vorhersage: 4, Fehler: 5.16241e-09
Testbild Nr. 3176: JA, Label = 1, Vorhersage: 1, Fehler: 1.0414e-36
Testbild Nr. 3177: JA, Label = 2, Vorhersage: 2, Fehler: 0.499982
Testbild Nr. 3178: JA, Label = 3, Vorhersage: 3, Fehler: 1.82172e-28
Testbild Nr. 3179: JA, Label = 0, Vorhersage: 0, Fehler: 5.1399e-13
Testbild Nr. 3180: JA, Label = 0, Vorhersage: 0, Fehler: 0.497651
Testbild Nr. 3181: JA, Label = 2, Vorhersage: 2, Fehler: 5.5236e-06
Testbild Nr. 3182: JA, Label = 6, Vorhersage: 6, Fehler: 0.497452
Testbild Nr. 3183: JA, Label = 6, Vorhersage: 6, Fehler: 1.07598e-17
Testbild Nr. 3184: JA, Label = 5, Vorhersage: 5, Fehler: 2.19736e-19
Testbild Nr. 3185: JA, Label = 7, Vorhersage: 7, Fehler: 4.79678e-36
Testbild Nr. 3186: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.874711
Testbild Nr. 3187: NEIN, Label = 8, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 3188: JA, Label = 6, Vorhersage: 6, Fehler: 2.56291e-27
Testbild Nr. 3189: JA, Label = 4, Vorhersage: 4, Fehler: 1.35152e-31
Testbild Nr. 3190: NEIN, Label = 7, Vorhersage: 4, Fehler: 0.500008
Testbild Nr. 3191: JA, Label = 9, Vorhersage: 9, Fehler: 8.16452e-17
Testbild Nr. 3192: JA, Label = 0, Vorhersage: 0, Fehler: 7.88763e-10
Testbild Nr. 3193: JA, Label = 7, Vorhersage: 7, Fehler: 1.58225e-14
Testbild Nr. 3194: NEIN, Label = 3, Vorhersage: 1, Fehler: 0.5
Testbild Nr. 3195: JA, Label = 4, Vorhersage: 4, Fehler: 8.11842e-36
Testbild Nr. 3196: JA, Label = 2, Vorhersage: 2, Fehler: 4.31348e-16
Testbild Nr. 3197: JA, Label = 1, Vorhersage: 1, Fehler: 0.46232
Testbild Nr. 3198: JA, Label = 8, Vorhersage: 8, Fehler: 1.01701e-09
Testbild Nr. 3199: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 3200: JA, Label = 5, Vorhersage: 5, Fehler: 8.09745e-19
Testbild Nr. 3201: JA, Label = 9, Vorhersage: 9, Fehler: 4.78813e-08
Testbild Nr. 3202: JA, Label = 2, Vorhersage: 2, Fehler: 4.82684e-26
Testbild Nr. 3203: JA, Label = 7, Vorhersage: 7, Fehler: 3.68583e-19
Testbild Nr. 3204: JA, Label = 1, Vorhersage: 1, Fehler: 2.19889e-16
Testbild Nr. 3205: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 3206: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 3207: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.759058
Testbild Nr. 3208: JA, Label = 2, Vorhersage: 2, Fehler: 2.99911e-15
Testbild Nr. 3209: JA, Label = 7, Vorhersage: 7, Fehler: 2.87807e-55
Testbild Nr. 3210: JA, Label = 6, Vorhersage: 6, Fehler: 3.78306e-14
Testbild Nr. 3211: JA, Label = 0, Vorhersage: 0, Fehler: 4.20084e-20
Testbild Nr. 3212: JA, Label = 1, Vorhersage: 1, Fehler: 3.90675e-09
Testbild Nr. 3213: JA, Label = 2, Vorhersage: 2, Fehler: 6.81216e-34
Testbild Nr. 3214: JA, Label = 7, Vorhersage: 7, Fehler: 6.71991e-27
Testbild Nr. 3215: JA, Label = 1, Vorhersage: 1, Fehler: 8.13503e-26
Testbild Nr. 3216: JA, Label = 0, Vorhersage: 0, Fehler: 3.74958e-19
Testbild Nr. 3217: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 3218: JA, Label = 3, Vorhersage: 3, Fehler: 4.42382e-10
Testbild Nr. 3219: NEIN, Label = 6, Vorhersage: 5, Fehler: 0.999997
Testbild Nr. 3220: JA, Label = 0, Vorhersage: 0, Fehler: 3.86432e-09
Testbild Nr. 3221: JA, Label = 5, Vorhersage: 5, Fehler: 5.49585e-40
Testbild Nr. 3222: JA, Label = 3, Vorhersage: 3, Fehler: 1.7704e-18
Testbild Nr. 3223: JA, Label = 6, Vorhersage: 6, Fehler: 2.83236e-18
Testbild Nr. 3224: JA, Label = 2, Vorhersage: 2, Fehler: 9.17199e-54
Testbild Nr. 3225: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 3226: NEIN, Label = 7, Vorhersage: 1, Fehler: 0.999993
Testbild Nr. 3227: JA, Label = 0, Vorhersage: 0, Fehler: 2.37982e-08
Testbild Nr. 3228: JA, Label = 1, Vorhersage: 1, Fehler: 3.44024e-07
Testbild Nr. 3229: NEIN, Label = 4, Vorhersage: 7, Fehler: 0.516649
Testbild Nr. 3230: JA, Label = 2, Vorhersage: 2, Fehler: 0.448064
Testbild Nr. 3231: JA, Label = 1, Vorhersage: 1, Fehler: 1.07257e-27
Testbild Nr. 3232: JA, Label = 1, Vorhersage: 1, Fehler: 4.57992e-31
Testbild Nr. 3233: JA, Label = 4, Vorhersage: 4, Fehler: 1.26987e-36
Testbild Nr. 3234: JA, Label = 4, Vorhersage: 4, Fehler: 2.46403e-10
Testbild Nr. 3235: JA, Label = 4, Vorhersage: 4, Fehler: 5.22268e-20
Testbild Nr. 3236: JA, Label = 4, Vorhersage: 4, Fehler: 3.1812e-28
Testbild Nr. 3237: JA, Label = 7, Vorhersage: 7, Fehler: 0.499996
Testbild Nr. 3238: JA, Label = 1, Vorhersage: 1, Fehler: 1.77047e-35
Testbild Nr. 3239: JA, Label = 6, Vorhersage: 6, Fehler: 6.8016e-05
Testbild Nr. 3240: JA, Label = 2, Vorhersage: 2, Fehler: 0.472873
Testbild Nr. 3241: NEIN, Label = 9, Vorhersage: 3, Fehler: 1.00214
Testbild Nr. 3242: JA, Label = 9, Vorhersage: 9, Fehler: 5.2307e-38
Testbild Nr. 3243: NEIN, Label = 0, Vorhersage: 5, Fehler: 1
Testbild Nr. 3244: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.500082
Testbild Nr. 3245: JA, Label = 1, Vorhersage: 1, Fehler: 1.72868e-33
Testbild Nr. 3246: NEIN, Label = 8, Vorhersage: 1, Fehler: 0.500001
Testbild Nr. 3247: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.99846
Testbild Nr. 3248: JA, Label = 4, Vorhersage: 4, Fehler: 0.499854
Testbild Nr. 3249: JA, Label = 3, Vorhersage: 3, Fehler: 0.472489
Testbild Nr. 3250: NEIN, Label = 4, Vorhersage: 5, Fehler: 0.5
Testbild Nr. 3251: JA, Label = 2, Vorhersage: 2, Fehler: 9.79561e-12
Testbild Nr. 3252: JA, Label = 0, Vorhersage: 0, Fehler: 1.35069e-12
Testbild Nr. 3253: JA, Label = 6, Vorhersage: 6, Fehler: 0.0741876
Testbild Nr. 3254: JA, Label = 1, Vorhersage: 1, Fehler: 6.45085e-10
Testbild Nr. 3255: NEIN, Label = 6, Vorhersage: 5, Fehler: 1
Testbild Nr. 3256: JA, Label = 1, Vorhersage: 1, Fehler: 8.64819e-30
Testbild Nr. 3257: JA, Label = 2, Vorhersage: 2, Fehler: 0.42575
Testbild Nr. 3258: JA, Label = 2, Vorhersage: 2, Fehler: 8.57883e-26
Testbild Nr. 3259: JA, Label = 2, Vorhersage: 2, Fehler: 0.326637
Testbild Nr. 3260: JA, Label = 1, Vorhersage: 1, Fehler: 1.60691e-30
Testbild Nr. 3261: JA, Label = 2, Vorhersage: 2, Fehler: 2.1083e-18
Testbild Nr. 3262: JA, Label = 3, Vorhersage: 3, Fehler: 2.2244e-12
Testbild Nr. 3263: JA, Label = 7, Vorhersage: 7, Fehler: 7.46373e-06
Testbild Nr. 3264: NEIN, Label = 8, Vorhersage: 4, Fehler: 0.5
Testbild Nr. 3265: JA, Label = 1, Vorhersage: 1, Fehler: 2.24343e-07
Testbild Nr. 3266: JA, Label = 0, Vorhersage: 0, Fehler: 1.82887e-25
Testbild Nr. 3267: JA, Label = 0, Vorhersage: 0, Fehler: 9.59341e-06
Testbild Nr. 3268: JA, Label = 2, Vorhersage: 2, Fehler: 3.50537e-28
Testbild Nr. 3269: JA, Label = 1, Vorhersage: 1, Fehler: 4.16967e-29
Testbild Nr. 3270: NEIN, Label = 6, Vorhersage: 5, Fehler: 1.00039
Testbild Nr. 3271: JA, Label = 6, Vorhersage: 6, Fehler: 2.38606e-20
Testbild Nr. 3272: JA, Label = 0, Vorhersage: 0, Fehler: 0.000328589
Testbild Nr. 3273: JA, Label = 1, Vorhersage: 1, Fehler: 0.000635493
Testbild Nr. 3274: NEIN, Label = 6, Vorhersage: 5, Fehler: 0.599827
Testbild Nr. 3275: JA, Label = 2, Vorhersage: 2, Fehler: 8.84879e-40
Testbild Nr. 3276: JA, Label = 5, Vorhersage: 5, Fehler: 1.13175e-20
Testbild Nr. 3277: JA, Label = 1, Vorhersage: 1, Fehler: 3.54736e-19
Testbild Nr. 3278: JA, Label = 7, Vorhersage: 7, Fehler: 2.45064e-08
Testbild Nr. 3279: JA, Label = 4, Vorhersage: 4, Fehler: 6.66432e-39
Testbild Nr. 3280: JA, Label = 8, Vorhersage: 8, Fehler: 0.498348
Testbild Nr. 3281: NEIN, Label = 2, Vorhersage: 7, Fehler: 1
Testbild Nr. 3282: JA, Label = 1, Vorhersage: 1, Fehler: 1.3151e-22
Testbild Nr. 3283: JA, Label = 4, Vorhersage: 4, Fehler: 0.0117744
Testbild Nr. 3284: JA, Label = 3, Vorhersage: 3, Fehler: 1.53789e-15
Testbild Nr. 3285: NEIN, Label = 8, Vorhersage: 9, Fehler: 0.5
Testbild Nr. 3286: JA, Label = 3, Vorhersage: 3, Fehler: 1.59823e-09
Testbild Nr. 3287: JA, Label = 9, Vorhersage: 9, Fehler: 1.73332e-12
Testbild Nr. 3288: JA, Label = 9, Vorhersage: 9, Fehler: 0.0677375
Testbild Nr. 3289: JA, Label = 4, Vorhersage: 4, Fehler: 1.30734e-11
Testbild Nr. 3290: NEIN, Label = 8, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 3291: JA, Label = 3, Vorhersage: 3, Fehler: 1.00053e-15
Testbild Nr. 3292: JA, Label = 4, Vorhersage: 4, Fehler: 1.97468e-18
Testbild Nr. 3293: JA, Label = 7, Vorhersage: 7, Fehler: 0.499999
Testbild Nr. 3294: JA, Label = 2, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 3295: JA, Label = 7, Vorhersage: 7, Fehler: 4.04627e-24
Testbild Nr. 3296: JA, Label = 5, Vorhersage: 5, Fehler: 1.94745e-39
Testbild Nr. 3297: JA, Label = 7, Vorhersage: 7, Fehler: 2.92176e-20
Testbild Nr. 3298: NEIN, Label = 0, Vorhersage: 5, Fehler: 0.861417
Testbild Nr. 3299: JA, Label = 4, Vorhersage: 4, Fehler: 1.08359e-30
Testbild Nr. 3300: JA, Label = 3, Vorhersage: 3, Fehler: 1.06124e-11
Testbild Nr. 3301: JA, Label = 3, Vorhersage: 3, Fehler: 6.19149e-14
Testbild Nr. 3302: JA, Label = 2, Vorhersage: 2, Fehler: 0.52425
Testbild Nr. 3303: JA, Label = 6, Vorhersage: 6, Fehler: 9.74936e-18
Testbild Nr. 3304: JA, Label = 7, Vorhersage: 7, Fehler: 1.87039e-30
Testbild Nr. 3305: JA, Label = 6, Vorhersage: 6, Fehler: 0.49995
Testbild Nr. 3306: JA, Label = 0, Vorhersage: 0, Fehler: 1.65864e-20
Testbild Nr. 3307: JA, Label = 0, Vorhersage: 0, Fehler: 0.499986
Testbild Nr. 3308: JA, Label = 6, Vorhersage: 6, Fehler: 7.38631e-06
Testbild Nr. 3309: JA, Label = 7, Vorhersage: 7, Fehler: 1.66001e-48
Testbild Nr. 3310: JA, Label = 7, Vorhersage: 7, Fehler: 1.15018e-18
Testbild Nr. 3311: JA, Label = 0, Vorhersage: 0, Fehler: 1.16129e-17
Testbild Nr. 3312: JA, Label = 5, Vorhersage: 5, Fehler: 6.93926e-13
Testbild Nr. 3313: JA, Label = 5, Vorhersage: 5, Fehler: 2.81148e-38
Testbild Nr. 3314: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.739338
Testbild Nr. 3315: JA, Label = 1, Vorhersage: 1, Fehler: 7.09262e-30
Testbild Nr. 3316: JA, Label = 0, Vorhersage: 0, Fehler: 5.76419e-14
Testbild Nr. 3317: JA, Label = 7, Vorhersage: 7, Fehler: 1.0974e-10
Testbild Nr. 3318: JA, Label = 0, Vorhersage: 0, Fehler: 0.0852439
Testbild Nr. 3319: JA, Label = 2, Vorhersage: 2, Fehler: 7.83892e-10
Testbild Nr. 3320: NEIN, Label = 8, Vorhersage: 7, Fehler: 0.5
Testbild Nr. 3321: JA, Label = 1, Vorhersage: 1, Fehler: 1.05175e-21
Testbild Nr. 3322: JA, Label = 5, Vorhersage: 5, Fehler: 3.45744e-29
Testbild Nr. 3323: JA, Label = 0, Vorhersage: 0, Fehler: 6.27996e-08
Testbild Nr. 3324: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 3325: NEIN, Label = 8, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 3326: JA, Label = 0, Vorhersage: 0, Fehler: 0.499719
Testbild Nr. 3327: JA, Label = 3, Vorhersage: 3, Fehler: 0.49936
Testbild Nr. 3328: JA, Label = 2, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 3329: JA, Label = 7, Vorhersage: 7, Fehler: 2.0271e-53
Testbild Nr. 3330: NEIN, Label = 7, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 3331: NEIN, Label = 2, Vorhersage: 5, Fehler: 0.510997
Testbild Nr. 3332: JA, Label = 6, Vorhersage: 6, Fehler: 0.1132
Testbild Nr. 3333: JA, Label = 4, Vorhersage: 4, Fehler: 2.84086e-19
Testbild Nr. 3334: NEIN, Label = 7, Vorhersage: 9, Fehler: 0.500002
Testbild Nr. 3335: JA, Label = 5, Vorhersage: 5, Fehler: 7.83895e-32
Testbild Nr. 3336: JA, Label = 5, Vorhersage: 5, Fehler: 5.34433e-35
Testbild Nr. 3337: JA, Label = 5, Vorhersage: 5, Fehler: 3.34248e-05
Testbild Nr. 3338: JA, Label = 2, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 3339: NEIN, Label = 9, Vorhersage: 4, Fehler: 0.9933
Testbild Nr. 3340: NEIN, Label = 2, Vorhersage: 5, Fehler: 0.486811
Testbild Nr. 3341: NEIN, Label = 8, Vorhersage: 3, Fehler: 0.5
Testbild Nr. 3342: JA, Label = 4, Vorhersage: 4, Fehler: 7.61184e-09
Testbild Nr. 3343: NEIN, Label = 6, Vorhersage: 5, Fehler: 0.502071
Testbild Nr. 3344: NEIN, Label = 8, Vorhersage: 5, Fehler: 1
Testbild Nr. 3345: NEIN, Label = 6, Vorhersage: 1, Fehler: 0.995698
Testbild Nr. 3346: JA, Label = 5, Vorhersage: 5, Fehler: 1.16996e-39
Testbild Nr. 3347: JA, Label = 0, Vorhersage: 0, Fehler: 2.14139e-13
Testbild Nr. 3348: NEIN, Label = 0, Vorhersage: 2, Fehler: 0.5
Testbild Nr. 3349: NEIN, Label = 8, Vorhersage: 5, Fehler: 0.50016
Testbild Nr. 3350: JA, Label = 7, Vorhersage: 7, Fehler: 0.298962
Testbild Nr. 3351: JA, Label = 6, Vorhersage: 6, Fehler: 0.0106128
Testbild Nr. 3352: JA, Label = 1, Vorhersage: 1, Fehler: 4.51354e-20
Testbild Nr. 3353: JA, Label = 7, Vorhersage: 7, Fehler: 7.21568e-23
